nome;apelido;fundacao;escudo
Club de Regatas Vasco da Gama;Vasco do povo;1898-08-21;https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Escudo_Vasco_2015.png/474px-Escudo_Vasco_2015.png
Club de Regatas do Flamengo;Time de merda;1895-11-07;https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Flamengo_braz_logo.svg/120px-Flamengo_braz_logo.svg.png
